# timestamp, x, y, z, rx, ry, rz
814681395,-0.24067992967639,2.18005153066067,-3.38222537615708,-0.04739789908862,0.86125806243864,-2.91105639925717
816665191,-0.23397150192270,2.18211734854188,-3.38136380969076,-0.04611771960601,0.86269213842405,-2.91380041400494
818649908,-0.22725243326620,2.18416218277220,-3.38050172177566,-0.04483329539958,0.86412708569881,-2.91654316952272
820635519,-0.22052279041979,2.18618598656869,-3.37963911254471,-0.04354461661161,0.86556290236940,-2.91928466125140
822621999,-0.21378264028695,2.18818871336385,-3.37877598213093,-0.04225167335657,0.86699958653237,-2.92202488461146
824609320,-0.20703204996094,2.19017031680636,-3.37791233066744,-0.04095445572104,0.86843713627434,-2.92476383500284
826597456,-0.20027108672420,2.19213075076185,-3.37704815828742,-0.03965295376362,0.86987554967193,-2.92750150780482
828586380,-0.19349981804755,2.19406996931361,-3.37618346512413,-0.03834715751477,0.87131482479168,-2.93023789837594
830576064,-0.18671831158950,2.19598792676334,-3.37531825131093,-0.03703705697681,0.87275495969005,-2.93297300205387
832566484,-0.17992663519554,2.19788457763188,-3.37445251698123,-0.03572264212373,0.87419595241331,-2.93570681415532
834557610,-0.17312485689745,2.19975987665994,-3.37358626226855,-0.03440390290115,0.87563780099750,-2.93843932997589
836549417,-0.16631304491251,2.20161377880883,-3.37271948730648,-0.03308082922620,0.87708050346839,-2.94117054479002
838541878,-0.15949126764282,2.20344623926118,-3.37185219222867,-0.03175341098741,0.87852405784139,-2.94390045385081
840534965,-0.15265959367458,2.20525721342166,-3.37098437716888,-0.03042163804465,0.87996846212155,-2.94662905238997
842528652,-0.14581809177730,2.20704665691773,-3.37011604226094,-0.02908550022897,0.88141371430341,-2.94935633561764
844522911,-0.13896683090317,2.20881452560031,-3.36924718763876,-0.02774498734255,0.88285981237103,-2.95208229872236
846517715,-0.13210588018620,2.21056077554454,-3.36837781343631,-0.02640008915860,0.88430675429790,-2.95480693687086
848513038,-0.12523530894158,2.21228536305048,-3.36750791978768,-0.02505079542121,0.88575453804684,-2.95753024520803
850508852,-0.11835518666487,2.21398824464381,-3.36663750682701,-0.02369709584530,0.88720316157002,-2.96025221885676
852505131,-0.11146558303131,2.21566937707655,-3.36576657468853,-0.02233898011648,0.88865262280884,-2.96297285291781
854501846,-0.10456656789504,2.21732871732776,-3.36489512350654,-0.02097643789099,0.89010291969387,-2.96569214246973
856498970,-0.09765821128834,2.21896622260426,-3.36402315341544,-0.01960945879556,0.89155405014484,-2.96841008256874
858496478,-0.09074058342093,2.22058185034130,-3.36315066454970,-0.01823803242733,0.89300601207053,-2.97112666824856
860494340,-0.08381375467914,2.22217555820329,-3.36227765704386,-0.01686214835372,0.89445880336870,-2.97384189452035
862492530,-0.07687779562521,2.22374730408448,-3.36140413103255,-0.01548179611237,0.89591242192610,-2.97655575637258
864491022,-0.06993277699652,2.22529704610964,-3.36053008665048,-0.01409696521099,0.89736686561832,-2.97926824877085
866489786,-0.06297876970480,2.22682474263481,-3.35965552403244,-0.01270764512730,0.89882213230979,-2.98197936665786
868488797,-0.05601584483538,2.22833035224791,-3.35878044331330,-0.01131382530888,0.90027821985369,-2.98468910495323
870488026,-0.04904407364642,2.22981383376948,-3.35790484462801,-0.00991549517310,0.90173512609188,-2.98739745855338
872487447,-0.04206352756817,2.23127514625334,-3.35702872811159,-0.00851264410699,0.90319284885487,-2.99010442233141
874487032,-0.03507427820212,2.23271424898727,-3.35615209389915,-0.00710526146718,0.90465138596172,-2.99280999113700
876486754,-0.02807639732031,2.23413110149370,-3.35527494212589,-0.00569333657972,0.90611073521999,-2.99551415979625
878486585,-0.02106995686448,2.23552566353040,-3.35439727292706,-0.00427685874003,0.90757089442567,-2.99821692311157
880486498,-0.01405502894534,2.23689789509112,-3.35351908643802,-0.00285581721280,0.90903186136313,-3.00091827586155
882486467,-0.00703168584177,2.23824775640625,-3.35264038279420,-0.00143020123184,0.91049363380504,-3.00361821280086
